x,survival fraction,error
100,-0.7048091578444459,0.004551948525837473
120,-0.8876612933961947,0.004987732793443076
140,-1.0907507913748928,0.005520818926267152
160,-1.3099094859354907,0.006160177257954773
180,-1.5386946803890298,0.00690674278737278
200,-1.793545383023162,0.00784536962692007
220,-2.0781342365756497,0.009045052544784929
240,-2.3502571624643824,0.01036338987205492
260,-2.6467489141576226,0.012019439133170468
280,-2.9133695515039415,0.013733465419387046
