x,survival fraction,error
100,-2.3067569832390373,0.008872866470761704
120,-2.4919167633195367,0.009733541417042945
140,-2.7046926440107164,0.010826163374360516
160,-2.9391220988585514,0.012172514090111644
180,-3.176103733024332,0.013703774196550632
200,-3.430239037646879,0.015560551102236928
220,-3.7033386868043903,0.01783724631296186
240,-3.9885844464150497,0.020571603220883004
260,-4.2832026355697606,0.02383656473113981
280,-4.630184450302833,0.028352398856187136
