x,survival fraction,error
100,0.048262,0.00021968613975396808
120,0.040197,0.00020049189509803133
140,0.032809,0.00018113254815189895
160,0.026352,0.0001623329911016242
180,0.020963,0.00014478604905169559
200,0.016247,0.00012746372032857036
220,0.012223,0.00011055767725490619
240,0.009311,9.649352309870336e-05
260,0.006922,8.319855767980595e-05
280,0.005302,7.281483365359011e-05
