,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,134080000.0,1157929.1860904105,21890000.0,467867.5026115834,410560000.0,2026228.0227062306,10000.0,10000.0,5180000.0,227596.13353482084,99380000.0,996895.1800465283,0.25,2
1,136170000.0,1166919.0203266034,21350000.0,462060.6020859169,415510000.0,2038406.2401788316,0.0,0.0,5170000.0,227376.34001804146,100460000.0,1002297.3610660661,0.23,2
2,138530000.0,1176987.6804792816,21650000.0,465295.60496527364,416960000.0,2041959.842896035,0.0,0.0,4630000.0,215174.34791350013,101200000.00000001,1005982.1071967434,0.2,2
3,147120000.0,1212930.3360045045,19380000.0,440227.2140611028,427330000.0,2067196.1687271,10000.0,10000.0,4070000.0,201742.41001832014,101340000.0,1006677.704133751,0.15,2
4,177880000.0,1333716.611578337,15330000.000000002,391535.4390090378,457799999.99999994,2139626.135566679,0.0,0.0,2490000.0,157797.33838059497,103480000.0,1017251.1980823615,0.1,2
5,185300000.0,1361249.4260788506,10300000.0,320936.1307176242,513619999.99999994,2266318.6007267376,0.0,0.0,1340000.0,115758.36902790224,113490000.00000001,1065316.8542738822,0.07,2
