,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,604.8927599198972,817067.9286326198,9434522.81924047,326649.65942122147,6811195.551616929,1425587.5981503206,0.0,0.0,1068385.9027468394,154919.33384829666,14272332.875511125,703491.2934784624,0.25,1.0
1,1214.9501224933945,1157972.3658188048,18833677.230536267,461519.2303685731,13648867.728170024,2018043.6070610564,0.0,0.0,2274771.6512651457,226053.09110914628,28729234.210111495,998098.1915623331,0.25,2.0
2,1840.5919000917902,1425271.9038836064,29399989.10400615,576628.1297335399,20562283.16086963,2476953.7742961617,0.0,0.0,3628060.4614111427,285482.04847240396,43108270.72603359,1222620.1372462339,0.25,3.0
3,3066.7772985333672,1839755.4185271475,48640403.02590611,741687.2656315464,34845249.298903316,3224437.935516824,0.0,0.0,5635735.636989578,355808.9374931439,73103529.21021043,1592136.9287847073,0.25,5.0
4,622.3799232908589,828794.3049997388,9690943.77683932,331058.90714493697,6830634.086380192,1427620.3977248296,0.0,0.0,1019418.2155376094,151327.45950421557,14477088.50981326,708519.583356734,0.23,1.0
5,1261.9751887603848,1180169.4793545546,19293466.533816967,467118.8285650665,13692436.85781182,2021261.9820300383,0.0,0.0,2337094.1622587116,229128.78474779203,29464624.164295238,1010791.7688624101,0.23,2.0
6,1858.7133129114397,1432270.9240922262,28277042.151762906,565508.6206239477,20834422.6475553,2493290.997858052,0.0,0.0,3579092.7742019123,283548.9375751565,43238045.423830725,1224459.0642402056,0.23,3.0
7,3093.7782036346453,1847836.5728602733,48092192.70276374,737495.7626996918,34640809.53673797,3214965.007585619,4752.787226134729,10000.0,5515542.222930559,351994.31813596084,71975931.28046203,1579810.1151720735,0.23,5.0
8,620.930210265287,827828.4846512593,9195786.065613953,322490.30993194197,6893306.603634158,1434154.8033598047,0.0,0.0,1148514.8454528525,160623.78404209012,14531882.271105386,709859.1409568521,0.2,1.0
9,1254.6360165684266,1176732.7649045894,18594940.476909753,458584.779511924,14006804.885534927,2044333.6322626013,0.0,0.0,1972062.3121535413,210475.6517984919,28510059.16494301,994283.6617384398,0.2,2.0
10,1893.4158184610683,1445579.4685869054,27755358.134579036,560267.7931132576,21074052.86058517,2507588.4829851966,0.0,0.0,3307544.690587091,272580.2634087802,43390891.17901401,1226621.3759754882,0.2,3.0
11,3198.338755604022,1878802.8103023479,45510298.922802895,717425.9543674176,34892169.90005602,3226608.1261907215,4752.787226134729,10000.0,5012510.527053922,335559.23471125035,72650759.70900711,1587198.7903221198,0.2,5.0
12,668.1364906604737,858719.9776411401,8585681.028568411,311608.7290176577,7065237.092143702,1451929.7503667318,0.0,0.0,738966.916066564,128840.98726725124,14667424.733249053,713161.9731870174,0.15,1.0
13,1352.2198246022388,1221638.2443260362,16897256.895565636,437149.85988788784,14413673.526959073,2073812.9134519342,0.0,0.0,1691611.0126824959,194935.88689617926,28980131.95918595,1002447.0060806207,0.15,2.0
14,2051.162717056116,1504592.9682143272,25403359.006258544,536003.7313302959,21582471.088789813,2537656.3991210475,0.0,0.0,2270320.043337034,225831.79581272427,43898454.441509455,1233774.695801466,0.15,3.0
15,3469.0726631295843,1956706.416404873,41186511.05156711,682495.4212300621,36021615.79923178,3278414.2508231024,0.0,0.0,3685931.364476596,287749.89139876317,71926905.28351645,1579271.9841749868,0.15,5.0
16,794.0803097570371,936162.379077476,6958734.263113636,280535.2027821108,7648057.987890485,1510629.0080625354,0.0,0.0,480773.6562360778,103923.04845413264,14603979.325437121,711617.8749862878,0.1,1.0
17,1617.7891294742008,1336226.0287840527,13192416.163361555,386264.15831655933,15419785.274533449,2144970.8622729587,0.0,0.0,1059482.6868906158,154272.48620541513,29686683.091636997,1014593.5146648631,0.1,2.0
18,2452.8238322036455,1645326.7152757228,18701045.70074376,459891.2915026768,23429131.89129974,2643993.1921243668,0.0,0.0,1522449.9114142463,184932.4200890693,46038295.01407548,1263487.237766967,0.1,3.0
19,3868.2873875464606,2066228.4481634647,28692620.94511276,569649.0147450445,38200072.28132153,3376092.4157967,0.0,0.0,2007675.1755784359,212367.605815953,74104236.32433498,1602997.1927611101,0.1,5.0
20,859.3173959077749,973858.305915188,5137261.253963179,241039.415863879,8393425.25191627,1582529.6205758676,0.0,0.0,382838.28181761754,92736.18495495705,16288166.514626551,751531.7691222373,0.07,1.0
21,1622.6819109355063,1338245.1195502265,9248838.677530956,323419.2325759246,16728199.752391662,2234121.7513824087,0.0,0.0,529741.3434453079,109087.12114635715,32135099.056742866,1055604.092451332,0.07,2.0
22,2057.4146044788954,1506884.2025849232,11583153.601879116,361939.2214170772,22544008.26526912,2593568.9695861186,4752.787226134729,10000.0,592063.8544388736,115325.62594670797,43659092.221128084,1230406.4369142419,0.07,3.0
23,2194.050057139052,1556116.9621850408,12352416.474675665,373764.6318206152,24844793.45750699,2722700.864950096,0.0,0.0,614321.8940794327,117473.4012447073,48922177.18734506,1302459.2124131948,0.07,5.0
