,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
0,30840000.0,555337.7350765928,5300000.0,230217.2886644268,93240000.0,965608.6163658649,10000.0,10000.0,990000.0,99498.74371066199,22750000.0,476969.60070847283,0.25,1.0
1,31510000.0,561337.6880274476,4920000.0,221810.73012818833,95890000.0,979234.3948207702,0.0,0.0,1230000.0,110905.36506409416,22890000.0,478434.9485562275,0.23,1.0
2,31540000.000000004,561604.8432839588,5140000.0,226715.6809750927,96180000.0,980714.0255956372,0.0,0.0,1210000.0,110000.0,23770000.0,487544.86972995626,0.2,1.0
3,34060000.0,583609.4584565948,4420000.0,210237.96041628637,97520000.0,987522.1516502806,0.0,0.0,960000.0,97979.58971132712,23030000.0,479895.82202807313,0.15,1.0
4,41080000.0,640936.8143584826,4000000.0000000005,200000.00000000003,105560000.0,1027423.9631233058,0.0,0.0,440000.0,66332.495807108,24810000.0,498096.37621649087,0.1,1.0
5,43980000.0,663174.18526357,2760000.0,166132.4772583615,118490000.0,1088531.1203635843,0.0,0.0,300000.0,54772.255750516604,25910000.0,509018.66370497656,0.07,1.0
