,Be7,Be7 error,C10,C10 error,C11,C11 error,F17,F17 error,O14,O14 error,O15,O15 error,energy,thickness
1,0.3373027223960799,0.0029128736777545845,3.458208397861225e-53,7.493097080915723e-55,490.35306149821133,2.429843734706649,0.0,0.0,2.822694365110523e-13,1.2486864706254462e-14,1.0879510937020214e-05,1.0900241107531119e-07,0.25,2.0
2,0.510997651036913,0.003585264324965205,5.398376959102618e-53,9.361972960974366e-55,738.7263691123331,2.982398689786796,0.0,0.0,4.5019489384835166e-13,1.5769639326091272e-14,1.632472691091931e-05,1.3352247696237258e-07,0.25,3.0
3,0.8514195872130744,0.00462789552697551,8.931269669781504e-53,1.2041826904195977e-54,1251.860228458417,3.8824137834049037,0.0,0.0,6.993211479902002e-13,1.9654400839879837e-14,2.768367022109269e-05,1.738774455927223e-07,0.25,5.0
4,0.1727893504466159,0.0020848279169421945,1.7794349314816447e-53,5.3749797787576545e-55,245.39928167943643,1.718939306768973,0.0,0.0,1.2649647937579453e-13,8.359122646360867e-15,5.482347410544215e-06,7.73775000624633e-08,0.23,1.0
5,0.35035814136271165,0.002968710405511637,3.5426341427855374e-53,7.584010590341835e-55,491.9183383059405,2.4337188483201273,0.0,0.0,2.900028457305333e-13,1.265676183155019e-14,1.1157996711858615e-05,1.1038867802036337e-07,0.23,2.0
6,0.5160286410047866,0.00360287032519246,5.192183312845164e-53,9.181439722557059e-55,748.5033288652255,3.002069672205344,0.0,0.0,4.4411864374733095e-13,1.5662856914412327e-14,1.6373871459420205e-05,1.3372330637758332e-07,0.23,3.0
7,0.858915762265206,0.004648223630164907,8.830608204679441e-53,1.1973774835470158e-54,1244.5154680529192,3.8710078184879766,2.0718885012219774e-17,2.0718885012219774e-17,6.844067159240585e-13,1.9443686464839484e-14,2.7256658699673807e-05,1.725312329495055e-07,0.23,5.0
8,0.17238687124918603,0.00208239840070021,1.6885148984862323e-53,5.235862432091601e-55,247.65087216440054,1.7268071172249124,0.0,0.0,1.4251568418757636e-13,8.872638945564334e-15,5.5030973310223715e-06,7.752379329234938e-08,0.2,1.0
9,0.34832059042572283,0.0029600653675515274,3.4143719533812945e-53,7.445454157931802e-55,503.21241250324744,2.461498478339412,0.0,0.0,2.447071631592881e-13,1.162638818639076e-14,1.0796511255107593e-05,1.0858582586211466e-07,0.2,2.0
10,0.5256629867932643,0.003636347902112325,5.096392563796426e-53,9.09635111359363e-55,757.1123513077356,3.01928468903486,0.0,0.0,4.1042307500530704e-13,1.5056962300671354e-14,1.643175281654348e-05,1.33959452675247e-07,0.2,3.0
11,0.8879445743798363,0.004726119045121841,8.356525175489073e-53,1.1647927043366233e-54,1253.5459111744333,3.8850268211973664,2.0718885012219774e-17,2.0718885012219774e-17,6.219870557953913e-13,1.8535834852842385e-14,2.7512210351878464e-05,1.7333815095899175e-07,0.2,5.0
12,0.18549260011549654,0.002160105796362573,1.5764884292597416e-53,5.059192129275712e-55,253.8276952595161,1.7482092036161099,0.0,0.0,9.169613788813053e-14,7.117000562711287e-15,5.55442608167886e-06,7.788449595618421e-08,0.15,1.0
13,0.37541247140272177,0.0030730248757874514,3.102646125968451e-53,7.097442800883342e-55,517.8296897692713,2.496993274611863,0.0,0.0,2.0990682167162408e-13,1.0767992749504259e-14,1.097452373078861e-05,1.0947734557756759e-07,0.15,2.0
